list_name,name,label,country,state,province,district
countries,Tanzania,Tanzania,Tanzania,,,
districts,Arusha DC,Arusha DC,Tanzania,Tanzania,Arusha,
districts,Arusha MC,Arusha MC,Tanzania,Tanzania,Arusha,
districts,Karatu,Karatu,Tanzania,Tanzania,Arusha,
districts,Longido,Longido,Tanzania,Tanzania,Arusha,
districts,Meru,Meru,Tanzania,Tanzania,Arusha,
districts,Monduli,Monduli,Tanzania,Tanzania,Arusha,
districts,Ngorongoro,Ngorongoro,Tanzania,Tanzania,Arusha,
districts,Bagamoyo,Bagamoyo,Tanzania,Tanzania,Coast,
districts,Kibaha DC,Kibaha DC,Tanzania,Tanzania,Coast,
districts,Kibaha TC,Kibaha TC,Tanzania,Tanzania,Coast,
districts,Kisarawe,Kisarawe,Tanzania,Tanzania,Coast,
districts,Mafia,Mafia,Tanzania,Tanzania,Coast,
districts,Mkuranga,Mkuranga,Tanzania,Tanzania,Coast,
districts,Rufiji,Rufiji,Tanzania,Tanzania,Coast,
districts,Ilala,Ilala,Tanzania,Tanzania,Dar Es Salaam,
districts,Kinondoni,Kinondoni,Tanzania,Tanzania,Dar Es Salaam,
districts,Temeke,Temeke,Tanzania,Tanzania,Dar Es Salaam,
districts,Bukombe,Bukombe,Tanzania,Tanzania,Geita,
districts,Chato,Chato,Tanzania,Tanzania,Geita,
districts,Geita DC,Geita DC,Tanzania,Tanzania,Geita,
districts,Geita TC,Geita TC,Tanzania,Tanzania,Geita,
districts,Mbogwe,Mbogwe,Tanzania,Tanzania,Geita,
districts,Iringa DC,Iringa DC,Tanzania,Tanzania,Iringa,
districts,Iringa MC,Iringa MC,Tanzania,Tanzania,Iringa,
districts,Kilolo,Kilolo,Tanzania,Tanzania,Iringa,
districts,Mufindi,Mufindi,Tanzania,Tanzania,Iringa,
districts,Biharamulo,Biharamulo,Tanzania,Tanzania,Kagera,
districts,Bukoba DC,Bukoba DC,Tanzania,Tanzania,Kagera,
districts,Bukoba MC,Bukoba MC,Tanzania,Tanzania,Kagera,
districts,Karagwe,Karagwe,Tanzania,Tanzania,Kagera,
districts,Kyerwa,Kyerwa,Tanzania,Tanzania,Kagera,
districts,Missenyi,Missenyi,Tanzania,Tanzania,Kagera,
districts,Muleba,Muleba,Tanzania,Tanzania,Kagera,
districts,Ngara,Ngara,Tanzania,Tanzania,Kagera,
districts,Mlele,Mlele,Tanzania,Tanzania,Katavi,
districts,Mpanda DC,Mpanda DC,Tanzania,Tanzania,Katavi,
